,ID,Name,HOF,HOF_n,HOF_mgr,FY,LY,SP,n_33,POS,ASG,G,AB,R,H,DB,TP,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,DBTP,BBSB,AVG,SLG,OBP,AW_P,AW_C,AWD,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,WAR
1102,bostoda01,"Boston, Daryl",N,0,N,1984,1994,11,11,0,N,1058,2629,37.8,65.5,131,22,83,27.8,98,50,237,469,23,8,14,13,37,15.3,33.5,249,410,312,0,0,0,-300.2808693,-21.2904928,-491.853206,-62.49416816,-52.76899915,12.86623017,0.628266115
1105,bosweke01,"Boswell, Ken",N,0,N,1967,1977,11,11,1,N,930,2517,26.6,62.5,91,19,31,24.4,27,17,240,239,29,9,25,25,90,11,26.7,248,337,313,0,0,0,-231.2582694,18.03358474,-461.3302329,-87.33646503,-64.89624016,5.852239952,0.814453125
1128,bowala01,"Bowa, Larry",N,1,N,1970,1985,16,16,1,Y,2247,8418,98.7,219.1,262,99,15,52.5,318,105,474,569,45,17,151,43,121,36.1,79.2,260,320,300,2,0,1,-281.3569012,164.6908204,-447.2284643,-50.46784129,-43.10874601,16.81135212,1.231945512
1160,boyercl02,"Boyer, Clete",N,2,N,1955,1971,16,16,0,N,1725,5780,64.5,139.6,200,33,162,65.4,41,28,470,931,74,25,37,53,136,23.3,51.1,242,372,299,1,0,1,-386.7235285,27.51026202,-421.9137586,-68.79473828,-56.58243994,10.04538235,2.666881383
1161,boyerke01,"Boyer, Ken",N,15,N,1955,1969,15,15,0,Y,2034,7455,110.4,214.3,318,68,282,114.1,105,77,713,1017,97,20,17,63,185,38.6,81.8,287,462,349,7,1,1,-565.518435,39.33487931,-474.1398413,-73.84692693,-66.53074006,5.888115368,4.222822932
1174,bradfbu01,"Bradford, Buddy",N,0,N,1966,1976,11,11,0,N,697,1605,22.4,36.3,50,8,52,17.5,36,24,184,411,16,19,12,11,43,5.8,22,226,364,311,0,0,0,-243.2354808,-25.72494395,-464.0984501,-84.24453566,-47.30894357,8.545104561,0.321682141
1195,braggda01,"Bragg, Darren",N,0,N,1994,2004,11,11,0,N,916,2461,34.1,62.7,145,14,46,26,56,24,304,570,17,25,24,21,54,15.9,36,255,381,340,0,0,0,-262.8874181,3.060535761,-501.5584628,-92.62106602,-56.57318807,7.07456589,1.499400353
1206,brandja01,"Brandt, Jackie",N,0,N,1956,1967,11,11,0,N,1221,3895,54,102,175,37,112,48.5,45,30,351,574,20,12,31,29,75,21.2,39.6,262,412,323,1,0,1,-346.2196843,5.055374104,-489.8915774,-67.82198276,-58.84972876,8.170305499,1.754539138
1221,braunst01,"Braun, Steve",N,0,N,1971,1985,15,15,0,N,1425,3650,46.6,98.9,155,19,52,38.8,45,27,579,433,32,17,24,25,77,17.4,62.4,271,367,371,0,0,0,-285.3514754,44.11739037,-508.4096488,-117.9856586,-62.91642749,5.511612413,1.749965076
1230,breamsi01,"Bream, Sid",N,0,N,1983,1994,12,12,0,N,1088,3108,35.1,81.9,191,12,90,45.5,50,40,353,450,45,5,26,38,75,20.3,40.3,264,420,336,0,1,1,-324.496635,-5.006957784,-511.5392354,-74.86981154,-57.14315555,1.872430483,1.838271955
1247,bressed01,"Bressoud, Eddie",N,0,N,1956,1967,12,12,1,N,1186,3672,44.3,92.5,184,40,94,36.5,9,13,359,723,44,12,38,25,74,22.4,36.8,252,401,319,0,0,0,-319.8830196,2.857299725,-484.4929937,-69.03394097,-52.68978385,13.48444645,2.314807599
1248,brettge01,"Brett, George",Y,1,N,1973,1993,21,21,0,Y,2707,10349,158.3,315.4,665,137,317,159.5,201,97,1096,908,229,33,26,120,235,80.2,129.7,305,487,369,7,2,1,-657.7810797,115.570351,-488.375543,-64.60828158,-54.97822145,-4.631332018,4.404809016
1266,bridgro01,"Bridges, Rocky",N,0,N,1951,1961,11,11,1,N,919,2272,24.5,56.2,80,11,16,18.7,10,15,205,229,10,7,40,13,79,9.1,21.5,247,313,310,0,0,0,-206.4912862,24.56647709,-449.1367202,-94.22600003,-70.35277308,6.936980931,0.425068979
1270,briggjo02,"Briggs, John",N,1,N,1964,1975,12,12,0,N,1366,4117,60.1,104.1,170,43,139,50.7,64,49,663,785,47,5,22,30,54,21.3,72.7,253,416,355,0,0,0,-373.5151024,-2.129211906,-494.0545494,-98.49991044,-48.94289647,10.61590597,2.097746537
1277,brinked01,"Brinkman, Ed",N,0,N,1961,1975,15,15,1,N,1846,6045,55,135.5,201,38,60,46.1,30,35,444,845,44,40,71,40,162,23.9,47.4,224,300,280,1,0,1,-270.0131075,75.39903166,-396.1719341,-69.19829892,-47.53389635,8.324094639,1.121581325
1298,brockgr01,"Brock, Greg",N,0,N,1982,1991,10,10,0,N,1013,3202,42,79.4,141,6,110,46.2,41,18,434,469,63,15,15,29,70,14.7,47.5,248,399,338,0,0,0,-331.1293921,-10.2428744,-484.3238471,-91.44927375,-52.84153939,3.379706951,1.380947226
1299,brocklo01,"Brock, Lou",Y,1,N,1961,1979,19,19,0,Y,2616,10332,161,302.3,486,141,149,90,938,307,761,1730,124,49,47,46,114,62.7,169.9,293,410,343,2,3,1,-469.9377295,173.5898844,-486.7745081,-51.9466747,-43.65055402,27.49768721,2.713360036
