,HOF,WAR,BBSB_Norm,IBB_Norm,AB,SF_Norm,HR_Norm,SO_Norm,SH_Norm,HBP_Norm,SP,ASG,G,AVG,OBP,SLG,R_Norm,DB_Norm,TP_Norm,RBI_Norm,SB_Norm,CS_Norm,GIDP_Norm,BB_Norm,DBTP_Norm,PC_1
319,0,2.556412423,0.0636106395,0.0127900396,8835,0.0101867572,0.030786644,0.1135257499,0.0037351443,0.0032823995,19,0.53,2332,294,329,446,0.1293718166,0.0498019242,0.0048670062,0.1480475382,0.0093944539,0.0070175439,0.028409734,0.0542161856,0.0546689304,-572.5666243
802,0,3.084614292,0.171553758,0.0075834176,5934,0.0114593866,0.0503875969,0.2291877317,0,0.0112908662,14,0,1672,282,385,498,0.1661611055,0.0571284125,0.0040444894,0.1712167172,0.0080889788,0.0070778564,0.0165149983,0.1634647792,0.0611729019,-573.6831077
170,0,4.048885427,0.1446523318,0.0163362189,7162,0.0114493158,0.0441217537,0.1724378665,0.0036302709,0.0086567998,17,0.35,2073,261,354,445,0.1364144094,0.0457972633,0.0029321419,0.1590337894,0.0033510193,0.0040491483,0.0258307735,0.1413013125,0.0487294052,-574.0805501
1013,1,3.472626337,0.1123728198,0.0086300872,11008,0.0111736919,0.0228015988,0.1226380814,0.0094476744,0.0043604651,20,0.15,2856,285,342,430,0.148255814,0.0529614826,0.0114462209,0.1277252907,0.0246184593,0.0095385174,0.019712936,0.0877543605,0.0644077035,-575.1034764
555,0,2.610433857,0.1355880092,0.0146041507,6505,0.0121445042,0.0471944658,0.2298232129,0.0001537279,0.0129131437,15,0.27,1821,276,363,478,0.1352805534,0.0528823982,0.0036894696,0.173405073,0.0056879324,0.004765565,0.0225980015,0.1299000769,0.0565718678,-577.6333782
181,1,4.652604779,0.0744658346,0.0176644806,9454,0.006981172,0.02538608,0.1301036598,0.003807912,0.0037021367,18,0.67,2433,317,359,475,0.1497778718,0.0465411466,0.0175587053,0.1380368098,0.0087793527,0.0048656653,0.0290882166,0.0656864819,0.0640998519,-578.5458729
829,0,1.169209747,0.0934858279,0.0126802586,8044,0.0149179513,0.0380407757,0.1540278468,0.0001243163,0.0008702138,20,0.2,2186,268,315,450,0.1347588265,0.0532073595,0.0073346594,0.1643460965,0.017652909,0.0064644455,0.0239930383,0.0758329189,0.0605420189,-579.8758462
830,0,2.254170635,0.1338656646,0.0086112416,6387,0.0086112416,0.0497886332,0.1440425865,0.0023485204,0.0079849695,17,0.24,1887,267,354,475,0.1479567872,0.0457178644,0.0065758572,0.179583529,0.0021919524,0.0029747925,0.0256771567,0.1316737122,0.0522937216,-580.3751583
162,0,1.659385157,0.0668425682,0.0093814131,6822,0.0104075051,0.0469070654,0.1566989153,0.0011726766,0.0087950748,16,0.12,1854,276,321,476,0.1322192905,0.0511580182,0.0041043682,0.1619759601,0.0048372911,0.0063031369,0.0328349458,0.062005277,0.0552623864,-585.2529691
557,0,3.432689638,0.1341516245,0.0111191336,6925,0.0124187726,0.0441877256,0.1611552347,0.0036101083,0.00433213,17,0.53,1969,283,360,484,0.1535018051,0.0560288809,0.0062093863,0.160433213,0.0103971119,0.0077978339,0.0215162455,0.1237545126,0.0622382671,-585.2635633
153,1,4.458432199,0.1112783841,0.013298206,7971,0.0124200226,0.0406473466,0.1250784092,0.0041400075,0.0085309246,19,0.58,2295,262,335,439,0.1285911429,0.046543721,0.003889098,0.1536820976,0.0048927362,0.0052691005,0.0225818592,0.106385648,0.050432819,-587.2833357
179,0,3.683411807,0.1399693294,0.0216088108,7173,0.01408058,0.0395929179,0.1658999024,0.0018123519,0.0082252893,15,0.4,1976,303,384,497,0.1653422557,0.0613411404,0.0065523491,0.1679910777,0.0093405827,0.0066917608,0.0139411683,0.1306287467,0.0678934895,-587.8015278
877,0,3.738792286,0.1913990402,0.0241786637,5418,0.0097822075,0.0618309339,0.2495385751,0.00018457,0.0070136582,17,0.47,1583,259,357,505,0.1657438169,0.0472499077,0.0070136582,0.184569952,0.0407899594,0.0182724252,0.0118124769,0.1506090808,0.0542635659,-588.3513088
276,0,2.506711281,0.12386932,0.007342769,9397,0.0079812706,0.0323507502,0.1382356071,0.0096839417,0.0056400979,19,0.11,2583,271,332,442,0.1535596467,0.0477812068,0.0131957008,0.1241885708,0.0340534213,0.0125571991,0.0161753751,0.0898158987,0.0609769075,-589.3886619
422,0,1.79777695,0.087695259,0.013017265,7298,0.0080844067,0.0445327487,0.1799123047,0.0023294053,0.0079473828,18,0.22,2028,273,332,457,0.1196218142,0.0389147712,0.0054809537,0.1593587284,0.0027404768,0.005206906,0.0267196492,0.0849547821,0.0443957249,-589.4201041
985,0,-0.171649485,0.1545304359,0.0123268522,7869,0.0081331808,0.0364722328,0.1540221121,0.0015249714,0.0049561571,16,0.31,2076,297,381,477,0.1735925785,0.0570593468,0.0069894523,0.1597407549,0.0186808997,0.0110560427,0.028339052,0.1358495362,0.0640487991,-590.0012906
934,0,2.230678925,0.1615598886,0.0088481075,6103,0.0088481075,0.058168114,0.2479108635,0.0018023923,0.0060625922,15,0.27,1731,242,337,470,0.1666393577,0.0465344912,0.0037686384,0.175651319,0.0198263149,0.0096673767,0.0165492381,0.1417335737,0.0503031296,-593.0028468
95,0,4.71789864,0.1952293057,0.0106488712,7043,0.0090870368,0.0471390033,0.2494675564,0.0022717592,0.0075252023,14,0.21,1849,268,353,471,0.1786170666,0.0428794548,0.0093710067,0.1453925884,0.0654550618,0.0239954565,0.0151923896,0.1297742439,0.0522504615,-594.1203975
865,0,2.678760353,0.1339506173,0.0198559671,9720,0.0122427984,0.0300411523,0.0913580247,0.0057613169,0.008127572,23,0.26,2951,279,362,431,0.1223251029,0.0513374486,0.0048353909,0.1508230453,0.0048353909,0.0033950617,0.0305555556,0.1291152263,0.0561728395,-594.5791096
845,0,4.465416149,0.146025878,0.0163514859,7033,0.0122280677,0.0446466657,0.1464524385,0.0011374947,0.0046921655,17,0.41,1987,287,366,489,0.159675814,0.0516138206,0.0081046495,0.1552680222,0.0194795962,0.0122280677,0.021328025,0.1265462818,0.0597184701,-596.2961347
737,0,3.126747759,0.1528214339,0.0209549469,6681,0.0107768298,0.050740907,0.1835054633,0.0040413112,0.0043406676,17,0.24,2042,266,361,462,0.1330639126,0.0404131118,0.0016464601,0.1776680138,0.0029935638,0.003143242,0.0245472235,0.1498278701,0.0420595719,-597.1672236
83,1,3.575261937,0.1447223244,0.0062522986,10876,0.007447591,0.0267561604,0.1611805811,0.0092865024,0.0262044869,20,0.35,2850,281,363,433,0.1695476278,0.0614196396,0.0050570063,0.1080360427,0.0380654652,0.0114012505,0.0137918352,0.1066568591,0.0664766458,-600.8502664
3,0,2.198932092,0.0929458068,0.0083257645,6606,0.0052982137,0.050862852,0.1603088102,0.0078716318,0.0025734181,17,0.06,1959,277,337,485,0.1245837118,0.044656373,0.0052982137,0.1698455949,0.0030275507,0.0037844384,0.0337571904,0.0899182561,0.0499545867,-601.4766462
397,1,4.784669564,0.3280722562,0.0055651857,10961,0.006112581,0.0270960679,0.1545479427,0.0027369766,0.0089407901,25,0.4,3081,279,401,419,0.2093787063,0.0465286014,0.0060213484,0.1017242952,0.1282729678,0.0305629048,0.0156919989,0.1997992884,0.0525499498,-603.2486641
347,0,2.630968228,0.1279299633,0.011296244,7082,0.0074837616,0.0463146004,0.1856820107,0.0004236091,0.011296244,15,0.13,1951,283,355,494,0.1594182434,0.0628353572,0.0049421067,0.1510872635,0.0228748941,0.0073425586,0.0245693307,0.1050550692,0.067777464,-606.3157495
579,0,2.145972153,0.1134861482,0.0143439741,7111,0.0112501758,0.0476726199,0.1503304739,0.0019687808,0.0082970046,16,0.12,2023,271,344,471,0.1417522149,0.051328927,0.0029531711,0.1787371678,0.0037969343,0.0028125439,0.0268597947,0.1096892139,0.0542820982,-606.8228525
178,0,3.291221884,0.1955600993,0.0185482693,6847,0.0121220973,0.049656784,0.2104571345,0.0013144443,0.0035051848,18,0.22,1994,267,379,476,0.1632831897,0.0484883891,0.0056959252,0.1723382503,0.0112458011,0.0089090112,0.0254125895,0.1843142982,0.0541843143,-606.8811688
593,0,2.048387882,0.0691286634,0.0111709817,7609,0.0085425154,0.0465238533,0.2063346038,0.0011828098,0.0064397424,18,0.17,2071,267,313,459,0.1260349586,0.0446839269,0.0040741227,0.1634906032,0.0051255093,0.004599816,0.0287817059,0.0640031542,0.0487580497,-614.0535601
293,0,3.505209933,0.1020931226,0.015093265,7023,0.0096824719,0.0495514737,0.2020504058,0.0004271679,0.0074042432,18,0.28,1977,274,338,480,0.1403958422,0.0437135127,0.0066922967,0.1764203332,0.0072618539,0.0044140681,0.0279083013,0.0948312687,0.0504058095,-615.8487194
303,0,2.306753591,0.0815551335,0.0063680036,8951,0.0116188135,0.0402189699,0.1789744163,0.0035750196,0.0107250587,20,0.1,2507,255,308,434,0.1262428779,0.0494916769,0.0043570551,0.1498156631,0.0107250587,0.0072617585,0.0263657692,0.0708300749,0.053848732,-620.8484744
809,1,5.077181779,0.1403659585,0.0115436571,8143,0.0115436571,0.0419992632,0.1649269311,0.0015964632,0.0046665848,15,0.6,2243,277,362,464,0.1397519342,0.044823775,0.0082279258,0.1634532727,0.0042981702,0.0050349994,0.0314380449,0.1360677883,0.0530517008,-623.9459689
216,0,2.190206082,0.1540412775,0.0216764672,8673,0.0108382336,0.0403551251,0.1957800069,0.0023060071,0.0017295054,19,0.16,2436,274,360,451,0.1429724432,0.0488873516,0.0034590107,0.1581920904,0.0163726508,0.011299435,0.0267496829,0.1376686268,0.0523463623,-631.3102662
21,0,3.376191078,0.1197953673,0.012931647,7037,0.0116526929,0.0471791957,0.1270427739,0.0012789541,0.0068210885,17,0.35,1942,303,369,516,0.1575955663,0.0598266307,0.0055421344,0.1828904363,0.0150632372,0.0052579224,0.0277106722,0.1047321302,0.0653687651,-631.3278001
185,0,4.089112316,0.1491619253,0.0089189605,6503,0.0092265108,0.0575119176,0.135322159,0.0024604029,0.0044594802,14,0.43,1841,266,359,489,0.1493157004,0.0435183761,0.0032292788,0.1782254344,0.0029217284,0.0041519299,0.0279870829,0.1462401968,0.0467476549,-631.6905418
11,0,4.914000547,0.1621920404,0.0217940619,6332,0.0083701832,0.0554327227,0.2457359444,0.0030006317,0.0025268478,15,0.47,1749,292,378,534,0.1735628553,0.0505369551,0.0124763108,0.176721415,0.021004422,0.0082122552,0.0259001895,0.1411876184,0.063013266,-637.2251474
990,0,3.190704411,0.0745714286,0.0122857143,7000,0.0088571429,0.054,0.1947142857,0.0012857143,0.0078571429,17,0.29,1866,268,317,489,0.1424285714,0.0482857143,0.005,0.174,0.0075714286,0.005,0.026,0.067,0.0532857143,-637.4884707
