,HOF,SP,ASG,G,AB,AVG,OBP,SLG,R_Norm,DB_Norm,TP_Norm,HR_Norm,RBI_Norm,SB_Norm,CS_Norm,BB_Norm,SO_Norm,IBB_Norm,HBP_Norm,SH_Norm,SF_Norm,GIDP_Norm,DBTP_Norm,BBSB_Norm
769,1,16,0.5,2089,8225,298,352,502,0.1518541033,0.0453495441,0.0096048632,0.046443769,0.1764133739,0.0070516717,0.0041337386,0.0814589666,0.1730091185,0.0093617021,0.007781155,0.0006079027,0.0114285714,0.0382978723,0.0549544073,0.0885106383
770,0,12,0.58,1412,5386,266,299,335,0.1193835871,0.0363906424,0.0068696621,0.0063126625,0.0724099517,0.0135536576,0.0089119941,0.0486446342,0.0451169699,0.0037133309,0.0012996658,0.0181953212,0.0055699963,0.0185666543,0.0432603045,0.0621982919
771,0,12,0,912,2729,247,294,318,0.1051667277,0.0443385856,0.0021986075,0.0073286918,0.0839135214,0.0091608648,0.0058629535,0.0637596189,0.1216562844,0.0010993038,0.0065958226,0.0263832906,0.008061561,0.0296812019,0.0465371931,0.0729204837
772,1,21,0.9,3001,11551,276,340,447,0.1425850576,0.0522032724,0.003809194,0.0373127868,0.1467405419,0.0031166133,0.0033763311,0.0977404554,0.1129772314,0.0092632672,0.005713791,0.0008657259,0.0109947191,0.0303004069,0.0560124665,0.1008570687
773,0,10,0,1171,3552,256,328,402,0.1416103604,0.0436373874,0.0157657658,0.0233671171,0.1188063063,0.045045045,0.0197072072,0.102759009,0.147240991,0.0061936937,0.0064752252,0.0123873874,0.0067567568,0.0157657658,0.0594031532,0.1478040541
774,0,11,0,781,2215,233,291,333,0.1124153499,0.0514672686,0.0054176072,0.0126410835,0.0943566591,0.0090293454,0.0099322799,0.0772009029,0.2,0.0022573363,0.0063205418,0.0189616253,0.00496614,0.0207674944,0.0568848758,0.0862302483
775,0,15,0.07,1468,5629,295,327,397,0.1394563866,0.0438799076,0.0126132528,0.0108367383,0.0886480725,0.0474329366,0.0159886303,0.0472552851,0.0836738319,0.003553029,0.0039083319,0.0133238586,0.0062178007,0.0078166637,0.0564931604,0.0946882217
776,0,12,0.08,1202,4147,294,358,380,0.1598746082,0.048951049,0.0074752833,0.0072341452,0.0848806366,0.0636604775,0.0229081264,0.0954907162,0.1321437184,0.0045816253,0.0072341452,0.0065107306,0.0074752833,0.0142271522,0.0564263323,0.1591511936
777,0,11,0,829,2385,242,331,434,0.1186582809,0.0389937107,0.0041928721,0.0482180294,0.1542976939,0.0029350105,0.0037735849,0.1329140461,0.2289308176,0.0075471698,0.0054507338,0.0004192872,0.0109014675,0.0213836478,0.0431865828,0.1358490566
778,0,10,0,709,2017,239,286,357,0.0961824492,0.0381755082,0.0034705007,0.0242935052,0.1031234507,0.0133862172,0.0039662866,0.063460585,0.1789786812,0.0109072881,0.0039662866,0.0133862172,0.0044620724,0.0178482895,0.0416460089,0.0768468022
